(+)-7-epi-jasmonate <=> (-)-jasmonate	1579	3
a nascent peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide + glycine -> a nascent peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-glycine) tetrapeptide + D-alanine	2084 1035 	547 880 
a nascent peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide + H2O -> a nascent peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimelate) tripeptide + D-alanine	2084 1066 	546 880 
a nascent peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide -> a mature peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide + di-trans,octa-cis-undecaprenyl diphosphate + H+	2086	541 941 1064 
a nascent peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-glycine) tetrapeptide -> a mature peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-glycine) tetrapeptide + di-trans,octa-cis-undecaprenyl diphosphate + H+	547	542 941 1064 
a nascent peptidoglycan with D,D cross-links (meso-diaminopimelate containing) -> a mature peptidoglycan with D,D cross-links (meso-diaminopimelate containing) + di-trans,octa-cis-undecaprenyl diphosphate + H+	548	543 941 1064 
a nascent peptidoglycan with L,D cross links (meso-diaminopimelate containing) -> a mature peptidoglycan with L,D cross-links (meso-diaminopimelate containing) + di-trans,octa-cis-undecaprenyl diphosphate + H+	549	544 941 1064 
a negatively supercoiled DNA = a relaxed DNA	2036	2087
a nucleoside diphosphate + ATP = a nucleoside triphosphate + ADP	1605 718 	1671 616 
a nucleoside triphosphate + H2O = a nucleoside 5'-monophosphate + diphosphate + H+	1671 1066 	2039 955 1064 
a nucleoside triphosphate + H2O -> a nucleoside diphosphate + phosphate + H+	1671 1066 	1605 1354 1064 
a nucleoside triphosphate + RNA(n) = RNA(n+1) + diphosphate	1671 2088 	2088 955 
a nucleoside[periplasm] -> a nucleoside[cytosol]	2089	2089
a nucleoside[periplasm] + H+[periplasm] <=> a nucleoside[cytosol] + H+[cytosol]	2089 1064 	2089 1064 
a nucleotide[periplasm] + H+[cytosol] -> a nucleotide[cytosol] + H+[periplasm]	2090 1064 	2090 1064 
a palmitoleoyl-[acp] + 1-cis-vaccenoyl-sn-glycerol-3-phosphate -> 1-cis-vaccenoyl-2-palmitoleoyl-sn-glycerol-3-phosphate + acyl-carrier protein	2091 163 	162 1624 
a palmitoleoyl-[acp] + 1-myristoyl-sn-glycerol 3-phosphate -> 1-myristoyl-2-palmitoleoyl-sn-glycerol 3-phosphate + acyl-carrier protein	2091 170 	169 1624 
a palmitoleoyl-[acp] + 1-palmitoyl-sn-glycerol 3-phosphate -> 1-palmitoyl-2-palmitoleoyl-sn-glycerol 3-phosphate + acyl-carrier protein	2091 177 	176 1624 
a palmitoleoyl-[acp] + a malonyl-[acp] + H+ = an (11Z)-3-oxooctadec-11-enoyl-[acp] + CO2 + acyl-carrier protein	2091 1776 1064 	1754 834 1624 
a palmitoleoyl-[acp] + H2O -> palmitoleate + acyl-carrier protein + H+	2091 1066 	1339 1624 1064 
a palmitoleoyl-[acp] + NAD+ <- a (2E,9Z)-hexadeca-2,9-dienoyl-[acp] + NADH + H+	1771 1299 1064 	2091 1298 
a palmitoleoyl-[acp] + α-Kdo-(2->4)-α-Kdo-(2->6)-lipid IVA -> Kdo2-(palmitoleoyl)-lipid IVA + acyl-carrier protein	2091 2033 	1109 1624 
a palmitoyl-[acp] + 1-palmitoyl-sn-glycerol 3-phosphate -> dipalmitoyl phosphatidate + acyl-carrier protein	2092 177 	954 1624 
a palmitoyl-[acp] + 1-stearoyl-sn-glycerol 3-phosphate = 1-stearoyl-2-palmitoyl-sn-glycerol 3-phosphate + acyl-carrier protein	2092 183 	181 1624 
a palmitoyl-[acp] + a malonyl-[acp] + H+ = a 3-oxooctadecanoyl-[acp] + CO2 + acyl-carrier protein	2092 1776 1064 	1737 834 1624 
a palmitoyl-[acp] + H2O -> palmitate + acyl-carrier protein + H+	2092 1066 	1338 1624 1064 
a palmitoyl-[acp] + malonyl-CoA + H+ -> a 3-oxooctadecanoyl-[acp] + CO2 + coenzyme A	2092 1208 1064 	1737 834 856 
a palmitoyl-[acp] + NAD+ <- a (2E)-hexadec-2-enoyl-[acp] + NADH + H+	1728 1299 1064 	2092 1298 
a palmitoyl-[acp] + sn-glycerol 3-phosphate -> 1-palmitoyl-sn-glycerol 3-phosphate + acyl-carrier protein	2092 1455 	177 1624 
a peptide + H2O -> a proteinogenic amino acid + a peptide	1845 1066 	2023 1845 
a peptide with a penultimate glycine + H2O -> a peptide with a C-terminal glycine + an amino acid	2093 1066 	2094 1843 
a peptide with an N-terminal L-alanine + H2O -> L-alanine + a peptide	2095 1066 	1119 1845 
a peptide with an N-terminal L-methionine + H2O -> L-methionine + a peptide	2096 1066 	1169 1845 
a peptide with an N-terminal Xaa-L-proline + H2O -> a proteinogenic amino acid + a peptide with an N-terminal L-proline + H+	2097 1066 	2023 2098 1064 
a peptide[periplasm] -> a peptide[cytosol]	1845	1845
a peptide[periplasm] + ATP + H2O -> a peptide[cytosol] + ADP + phosphate + H+	1845 718 1066 	1845 616 1354 1064 
a peptidoglycan + H2O -> a N-acetylmuramoyl-pentapeptide-diphosphoundecaprenol + N-acetyl-D-glucosamine	2099 1066 	2100 1701 
a peptidoglycan dimer (generic) -> a lipid II + GlcNAc-1,6-anhydro-MurNAc-pentapeptide	2101	2061 2102 
a peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide + a nascent peptidoglycan with (L-alanyl-γ-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide -> a nascent peptidoglycan with D,D cross-links (meso-diaminopimelate containing) + D-alanine	2085 2086 	548 880 
a peptidyl-[tRNA] + a charged tRNA -> a peptidyl-aminoacyl-[tRNA] + an uncharged tRNA	2103 2104 	2105 2000 
a peptidyl-dipeptidase Dcp substrate + H2O -> a peptide + a dipeptide	2106 1066 	1845 2022 
a phenyl acetate + H2O -> a phenol + acetate + H+	2107 1066 	2108 591 1064 
a phosphate monoester + H2O -> an alcohol + phosphate	2109 1066 	1857 1354 
a phosphatidylcholine + H2O -> a 2-acyl-sn-glycero-3-phosphocholine + a fatty acid + H+	2110 1066 	2111 2112 1064 
a phospholipid[periplasm] + ATP + H2O -> a phospholipid[cytosol] + ADP + phosphate + H+	2113 718 1066 	2113 616 1354 1064 
a phosphorylated isocitrate dehydrogenase + H2O -> an isocitrate dehydrogenase + phosphate	2114 1066 	2115 1354 
a phosphorylated phosphoglucomutase + α-D-glucopyranose 1-phosphate -> α-glucose 1,6-bisphosphate + a phosphoglucomutase	2116 1584 	2117 2118 
a phosphorylated phosphoglucosamine mutase + D-glucosamine 6-phosphate -> glucosamine 1,6-diphosphate + a phosphoglucosamine mutase	2119 2120 	1020 2121 
a phosphorylated β-phosphoglucomutase + β-D-glucopyranose 1-phosphate <=> glucose-1,6-bisphosphate + a β-phosphoglucomutase + H+	2122 767 	2123 2124 1064 
a pimeloyl-[acp] + L-alanine + H+ -> 8-amino-7-oxononanoate + CO2 + acyl-carrier protein	2125 1119 1064 	516 834 1624 
a pimeloyl-[acp] methyl ester + H2O -> a pimeloyl-[acp] + methanol + H+	2126 1066 	2125 1218 1064 
a pimeloyl-[acp] methyl ester + NAD+ <- an enoylpimeloyl-[acp] methyl ester + NADH + H+	1742 1299 1064 	2126 1298 
a polycistronic tRNA precursor + H2O -> a tRNA precursor with a 5' extension and a long 3' trailer + a partially processed polycistronic tRNA precursor	2127 1066 	2128 2129 
a polycistronic tRNA precursor + H2O -> a tRNA precursor with a 5' extension and a short 3' extension + a partially processed polycistronic tRNA precursor	2127 1066 	2130 2129 
a primary amine + H2O + oxygen -> an aldehyde + ammonium + hydrogen peroxide	2131 1066 1336 	2132 706 1075 
a protein + ATP + H2O -> 2 a peptide + ADP + phosphate	2133 718 1066 	1845 616 1354 
a protein + H2O -> 2 a peptide	2133 1066 	1845
a protein + H2O -> 2 a peptide	2133 1066 	1845
a protein + H2O -> 2 a peptide	2133 1066 	1845
a protein + H2O -> 2 a peptide	2133 1066 	1845
a protein + H2O -> 2 a peptide	2133 1066 	1845
a protein + H2O -> 2 a peptide	2133 1066 	1845
a protein + H2O -> 2 a peptide	2133 1066 	1845
a protein with a disulfide bond + a reduced glutaredoxin -> a protein with reduced L-cysteine residues + an oxidized glutaredoxin	1646 1649 	1647 1648 
a protein with incorrect disulfide bonds -> a protein with correct disulfide bonds	2134	2135
a purine 2'-deoxyribonucleoside + phosphate <=> a purine base + 2-deoxy-α-D-ribose 1-phosphate	2136 1354 	2137 1670 
a purine ribonucleoside + arsenate = a purine base + ribose-1-arsenate	2138 716 	2137 1409 
a purine ribonucleoside + phosphate = a purine base + α-D-ribose-1-phosphate	2138 1354 	2137 2139 
a purine ribonucleoside 5'-triphosphate + adenosylcobinamide -> adenosyl-cobinamide phosphate + a purine ribonucleoside 5'-diphosphate + H+	2140 610 	607 2141 1064 
a purine ribonucleoside[cytosol] -> a purine ribonucleoside[periplasm]	2138	2138
a purine[periplasm] + H+[periplasm] -> a purine[cytosol] + H+[cytosol]	2142 1064 	2142 1064 
a queuosine34 in tRNA + an oxidized electron acceptor + H2O <- an epoxyqueuosine34 in tRNA + a reduced electron acceptor	2143 1609 	2050 1608 1066 
a reduced hydrogenase 3 + H+ -> an oxidized hydrogenase 3 + H2	2144 1064 	2145 1065 
a reduced thioredoxin + a [2-Cys peroxiredoxin] with a disulfide bond -> an oxidized thioredoxin + a [2-Cys peroxiredoxin] with reduced L-cysteine residues	1682 1854 	1683 1855 
a reduced thioredoxin + an organic hydroperoxide -> an oxidized thioredoxin + an alcohol + H2O	1682 1856 	1683 1857 1066 
a reduced thioredoxin + NADP+ <- an oxidized thioredoxin + NADPH + H+	1683 1301 1064 	1682 1300 
a rhodoquinone[membrane] + 2 H+[in] + 2 e-[membrane] -> a rhodoquinol[membrane]	2146 1064 1606 	2147
a ribonucleoside 2',3'-cyclic phosphate + H2O -> a ribonucleoside 3'-phosphate + H+	2148 1066 	2149 1064 
a ribonucleoside 5'-monophosphate + H2O -> a ribonucleoside + phosphate	2150 1066 	2151 1354 
a ring-opened 7-methylguanine in DNA + H2O -> 2,6-diamino-4-hydroxy-5-(N-methyl)formamidopyrimidine + an apurinic site within DNA	2152 1066 	223 1848 
a RNA-DNA hybrid + n H2O -> DNA + n a nucleoside 5'-monophosphate	2153 1066 	2154 2039 
a single stranded DNA + H2O -> a ribonucleoside 5'-monophosphate + a single-stranded oligodeoxyribonucleotide	2155 1066 	2150 2156 
a single stranded DNA + n a ribonucleoside triphosphate -> ssDNA/pppN(pN)n-1 hybrid + n-1 diphosphate	2155 2157 	2158 2159 
a small subunit of molybdopterin synthase + ATP + H+ -> a carboxy-adenylated [small subunit of molybdopterin synthase] + diphosphate	2160 718 1064 	1934 955 
a sophorosyloxyfatty acid O(6'')-acetate + H2O -> a sophorosyloxyfatty acid + acetate + H+	2161 1066 	2162 591 1064 
a sophorosyloxyfatty acid 6',6''-diacetate + H2O -> a sophorosyloxyfatty acid O(6'')-acetate + acetate + H+	2163 1066 	2161 591 1064 
a stearoyl-[acp] + 1-stearoyl-sn-glycerol 3-phosphate = 1-stearoyl-2-stearoyl-sn-glycerol 3-phosphate + acyl-carrier protein	2164 183 	182 1624 
a stearoyl-[acp] + H2O -> stearate + acyl-carrier protein + H+	2164 1066 	1459 1624 1064 
a stearoyl-[acp] + malonyl-CoA + H+ = a 3-oxoicosanoyl-[acp] + CO2 + coenzyme A	2164 1208 1064 	1734 834 856 
a stearoyl-[acp] + NAD+ <- a (2E)-octadec-2-enoyl-[acp] + NADH + H+	1736 1299 1064 	2164 1298 
a sugar phosphate + H2O -> a sugar + phosphate	2165 1066 	2166 1354 
a sugar[cytosol] -> a sugar[periplasm]	2166	2166
a sugar[periplasm] + an [HPr protein]-Nπ-phospho-L-histidine -> a sugar 6-phosphate[cytosol] + an [HPr]-L-histidine	2166 1924 	2167 1922 
a sugar[periplasm] + an [HPr protein]-Nπ-phospho-L-histidine -> a sugar 6-phosphate[cytosol] + an [HPr]-L-histidine	2166 1924 	2167 1922 
a sugar[periplasm] + an [HPr protein]-Nπ-phospho-L-histidine -> a sugar 6-phosphate[cytosol] + an [HPr]-L-histidine	2166 1924 	2167 1922 
a sugar[periplasm] + ATP + H2O -> a sugar[cytosol] + ADP + phosphate + H+	2166 718 1066 	2166 616 1354 1064 
a sulfurated [sulfur carrier] + hydrogen cyanide -> an unsulfurated [sulfur carrier] + thiocyanate + H+	1654 1074 	1657 1478 1064 
a tetrahydrofolate + ATP + formate <=> a 10-formyltetrahydrofolate + ADP + phosphate	1800 718 995 	1799 616 1354 
a tetrahydrofolate + NADP+ <- a 7,8-dihydrofolate + NADPH + H+	1837 1301 1064 	1800 1300 
a tetrahydrofolate + trimethyl sulfonium <- dimethyl sulfide + a 5-methyltetrahydrofolate + H+	950 1846 1064 	1800 1492 
a ThiS sulfur-carrier protein + ATP + H+ -> a carboxy-adenylated-[ThiS sulfur-carrier protein] + diphosphate	1622 718 1064 	1927 955 
a tripeptide + H2O -> a proteinogenic amino acid + a dipeptide	2025 1066 	2023 2022 
a tRNA precursor + 2 CTP + ATP = a tRNA containing a 3' CCA end + 3 diphosphate	2168 865 718 	2169 955 
a tRNA precursor + H2O -> a tRNA + a nucleoside 5'-monophosphate	2168 1066 	2170 2039 
a tRNA precursor with a 5' extension + H2O -> an uncharged tRNA + a tRNA fragment	2171 1066 	2000 2172 
a tRNA precursor with a 5' extension and a long 3' trailer + H2O -> a tRNA precursor with a 5' extension + a ribonucleoside 5'-monophosphate	2128 1066 	2171 2150 
a tRNA precursor with a 5' extension and a long 3' trailer + n H2O -> a tRNA precursor with a 5' extension and a short 3' extension + n a nucleoside 5'-monophosphate	2128 1066 	2130 2039 
a tRNA precursor with a 5' extension and a short 3' extension -> a tRNA precursor with a 5' extension + a ribonucleoside 5'-monophosphate	2130	2171 2150 
a tRNA precursor with a 5' extension and a short 3' extension + H2O -> a tRNA precursor with a short 3' extension + a tRNA fragment	2130 1066 	2173 2172 
a tRNA precursor with a 5' extension and a short 3' extension + n phosphate -> a tRNA precursor with a 5' extension + a ribonucleoside diphosphate	2130 1354 	2171 1804 
a tRNA precursor with a short 3' extension -> an uncharged tRNA + n a nucleoside 5'-monophosphate	2173	2000 2039 
a tRNA precursor with a short 3' extension + n phosphate -> an uncharged tRNA + n a ribonucleoside diphosphate	2173 1354 	2000 1804 
a tRNAAla + L-alanine + ATP -> an L-alanyl-[tRNAAla] + AMP + diphosphate	2047 1119 718 	2174 707 955 
a tRNAArg + L-arginine + ATP -> an L-arginyl-[tRNAArg] + AMP + diphosphate	2175 1135 718 	2176 707 955 
a tRNACys + L-cysteine + ATP -> an L-cysteinyl-[tRNACys] + AMP + diphosphate	2177 1149 718 	2178 707 955 
a tRNAGln + L-glutamine + ATP -> an L-glutaminyl-[tRNAGln] + AMP + diphosphate	2179 1159 718 	2180 707 955 
a tRNAglu + L-glutamate + ATP -> an L-glutamyl-[tRNAGlu] + AMP + diphosphate	1610 1157 718 	1611 707 955 
a tRNAGly + glycine + ATP -> a glycyl-[tRNAGly] + AMP + diphosphate	2181 1035 718 	2182 707 955 
a tRNAHis + L-histidine + ATP -> an L-histidyl-[tRNAHis] + AMP + diphosphate	2183 1161 718 	2184 707 955 
a tRNAIle + L-isoleucine + ATP -> an L-isoleucyl-[tRNAIle] + AMP + diphosphate	2185 1166 718 	2186 707 955 
a tRNALeu + L-leucine + ATP -> an L-leucyl-[tRNALeu] + AMP + diphosphate	2187 1167 718 	2188 707 955 
a tRNAPhe + L-phenylalanine + ATP -> an L-phenylalanyl-[tRNAPhe] + AMP + diphosphate	2189 1174 718 	2190 707 955 
a tRNAPro + L-proline + ATP -> an L-prolyl-[tRNAPro] + AMP + diphosphate	2191 1175 718 	2192 707 955 
a tRNAsec + L-serine + ATP -> an L-seryl-[tRNAsec] + AMP + diphosphate	2193 1182 718 	2194 707 955 
a tRNAser + L-serine + ATP -> an L-seryl-[tRNAser] + AMP + diphosphate	2195 1182 718 	2196 707 955 
a tRNAThr + L-threonine + ATP -> an L-threonyl-[tRNAThr] + AMP + diphosphate	2197 1185 718 	2198 707 955 
a tRNATyr + L-tyrosine + ATP -> an L-tyrosyl-[tRNATyr] + AMP + diphosphate	2008 1187 718 	2199 707 955 
a tRNAVal + L-valine + ATP -> an L-valyl-[tRNAVal] + AMP + diphosphate	2200 1188 718 	2201 707 955 
a type IV prepilin + H2O -> a cleaved type IV prepilin + a peptide	2202 1066 	2203 1845 
a ubiquinone[membrane] + 2 H+[in] + 2 e-[membrane] -> an ubiquinol[membrane]	1602 1064 1606 	1603
a ubiquinone[membrane] + 2 H+[out] + 2 e-[membrane] -> an ubiquinol[membrane]	1602 1064 1606 	1603
a ubiquinone[membrane] + NADH[in] + H+[in] -> an ubiquinol[membrane] + NAD+[in]	1602 1299 1064 	1603 1298 
a UDP-sugar + H2O -> UMP + an α-D-aldose 1-phosphate + 2 H+	2204 1066 	1525 2205 1064 
a uracil in DNA + H2O -> an apyrimidinic site in DNA + uracil	2206 1066 	2207 1529 
a uridine in tRNA + NADPH + H+ -> a 5,6-dihydrouridine in tRNA + NADP+	2208 1301 1064 	2209 1300 
a uridine13 in tRNA -> a pseudouridine13 in tRNA	2210	2211
a uridine2604 in 23S rRNA = a pseudouridine2604 in 23S rRNA	2212	2213
a uridine32 in tRNA = a pseudouridine32 in tRNA	2214	2215
a uridine38-40 in tRNA = a pseudouridine38-40 in tRNA	2216	2217
a uridine516 in 16S rRNA = a 16S rRNA pseudouridine516	2218	2219
a uridine65 in tRNA -> a pseudouridine65 in tRNA	2220	2221
a vitamin[periplasm] -> a vitamin[cytosol]	2222	2222
a vitamin[periplasm] + ATP + H2O -> a vitamin[cytosol] + ADP + phosphate + H+	2222 718 1066 	2222 616 1354 1064 
a vitamin[periplasm] + H+[periplasm] -> a vitamin[cytosol] + H+[cytosol]	2222 1064 	2222 1064 
a β-D-galactoside + acetyl-CoA = a 6-acetyl-β-D-galactoside + coenzyme A	2223 595 	2224 856 
a β-D-glucuronoside + H2O -> D-glucopyranuronate + an alcohol	2225 1066 	2226 1857 
a β-glucoside[periplasm] + an [HPr protein]-Nπ-phospho-L-histidine -> a β-glucoside 6-phosphate[cytosol] + an [HPr]-L-histidine	2227 1924 	2228 1922 
acetaldehyde + coenzyme A + NAD+ <=> acetyl-CoA + NADH + H+	589 856 1298 	595 1299 1064 
acetate + ATP + coenzyme A -> acetyl-CoA + AMP + diphosphate	591 718 856 	595 707 955 
acetyl-CoA + (3Z)-dec-3-enoyl-CoA <- 3-oxo-(5Z)-dodecenoyl-CoA + coenzyme A	348 856 	595 55 
acetyl-CoA + (5Z)-dodecenoyl-CoA <- 3-oxo-(7Z)-tetradecenoyl-CoA + coenzyme A	351 856 	595 67 
acetyl-CoA + (7Z)-tetradecenoyl-CoA <- 3-oxo-(9Z)-hexadecenoyl-CoA + coenzyme A	352 856 	595 75 
acetyl-CoA + a [carboxyl-carrier protein dimer]-N6-carboxybiotinyl-L-lysine -> malonyl-CoA + a [biotin carboxyl-carrier-protein dimer]-N6-biotinyl-L-lysine	595 1860 	1208 1627 
acetyl-CoA + a [histone]-L-lysine -> a [histone]-N6-acetyl-L-lysine + coenzyme A + H+	595 2229 	2230 856 1064 
acetyl-CoA + a [protein]-L-cysteine <=> a [protein] S-acetyl-L-cysteine + coenzyme A	595 1827 	1900 856 
acetyl-CoA + a [pyruvate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine <- a [pyruvate dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine + coenzyme A	2231 856 	595 1925 
acetyl-CoA + a malonyl-[acp] + H+ -> an acetoacetyl-[acp] + CO2 + coenzyme A	595 1776 1064 	1713 834 856 
acetyl-CoA + acetoacetate -> acetate + acetoacetyl-CoA	595 592 	591 593 
acetyl-CoA + an aliphatic α,ω-diamine -> an aliphatic N-acetyl-diamine + coenzyme A + H+	595 2232 	2233 856 1064 
acetyl-CoA + glyoxylate + H2O -> (S)-malate + coenzyme A + H+	595 1055 1066 	133 856 1064 
acetyl-CoA + H2O -> acetate + coenzyme A + H+	595 1066 	591 856 1064 
acetyl-CoA + L-ornithine -> N5-acetyl-L-ornithine + coenzyme A + H+	595 1173 	1290 856 1064 
acetyl-CoA + myristoyl-CoA <- 3-oxo-palmitoyl-CoA + coenzyme A	363 856 	595 1238 
acetyl-CoA + oxalate <=> oxalyl-CoA + acetate	595 1331 	1334 591 
acetyl-CoA + oxaloacetate + H2O -> citrate + coenzyme A + H+	595 1332 1066 	830 856 1064 
acetyl-CoA + palmitoleoyl-CoA <- 3-oxo-(11Z)-octadecenoyl-CoA + coenzyme A	347 856 	595 1340 
acetyl-CoA + phosphate -> acetyl phosphate + coenzyme A	595 1354 	594 856 
acetyl-CoA + propane-1,3-diamine -> N-(3-aminopropyl)acetamide + coenzyme A + H+	595 1379 	1245 856 1064 
acetyl-CoA + propanoyl-CoA <- 3-oxopentanoyl-CoA + coenzyme A	369 856 	595 1382 
acetyl-CoA + putrescine -> N-acetylputrescine + coenzyme A + H+	595 1390 	1272 856 1064 
acetyl-CoA + spermidine = N1-acetylspermidine + coenzyme A + H+	595 1457 	1282 856 1064 
acetyl-CoA + spermidine = N8-acetylspermidine + coenzyme A + H+	595 1457 	1296 856 1064 
acetyl-CoA + spermine = N1-acetylspermine + coenzyme A + H+	595 1458 	1283 856 1064 
acetyl-CoA + α-D-glucosamine 1-phosphate -> N-acetyl-α-D-glucosamine 1-phosphate + coenzyme A + H+	595 2234 	2235 856 1064 
adenine + 2 hydroxyl radical -> isoguanine + H2O	597 1081 	1101 1066 
adenine + H+ + H2O -> ammonium + hypoxanthine	597 1064 1066 	706 1086 
adenosine + H2O -> D-ribofuranose + adenine	600 1066 	2236 597 
adenosine + H2O + H+ -> inosine + ammonium	600 1066 1064 	1096 706 
adenosine + phosphate <=> adenine + α-D-ribose-1-phosphate	600 1354 	597 2139 
adenosine 2',3'-cyclic monophosphate + H2O -> adenosine 3'-monophosphate + H+	601 1066 	603 1064 
adenosine 3',5'-bisphosphate + H2O -> AMP + phosphate	602 1066 	707 1354 
adenosine 3',5'-bisphosphate + sulfite + an oxidized thioredoxin + 2 H+ <- 3'-phosphoadenylyl-sulfate + a reduced thioredoxin	294 1682 	602 1469 1683 1064 
adenosine 5'-phosphosulfate + ATP -> 3'-phosphoadenylyl-sulfate + ADP + H+	605 718 	294 616 1064 
adenosyl-cobinamide phosphate + GTP + H+ -> adenosylcobinamide-GDP + diphosphate	607 1058 1064 	611 955 
adenosylcob(III)alamin-[corrinoid adenosyltranferase] -> adenosylcobalamin + a [corrinoid adenosyltransferase]	2237	608 1631 
adenosylcob(III)alamin-[corrinoid adenosyltranferase] + an apo-["base-off/His-on" B12-enzyme] + H+ -> a holo-["base-off/His-on" B12-enzyme] + a [corrinoid adenosyltransferase]	2237 1635 1064 	1636 1631 
adenosylcob(III)alamin-[corrinoid adenosyltranferase] + methylmalonyl-CoA mutase + H+ -> adenosylcobalamin-[methylmalonyl-CoA mutase] + a [corrinoid adenosyltransferase]	2237 1639 1064 	1640 1631 
adenosylcobalamin 5'-phosphate + H2O -> adenosylcobalamin + phosphate	609 1066 	608 1354 
adenosylcobinamide + ATP -> adenosyl-cobinamide phosphate + ADP + H+	610 718 	607 616 1064 
adenosylcobinamide + GTP -> adenosyl-cobinamide phosphate + GDP + H+	610 1058 	607 1012 1064 
adenosylcobinamide-GDP + 2-methyladenine ribotide phosphate -> Coα-[α-(2-methyladenin-9-yl)]-Coβ-adenosylcobamide 5'-phosphate + GMP + H+	611 269 	2238 1057 1064 
adenosylcobinamide-GDP + 4-methylphenyl ribotide phosphate -> 4-methylphenyl-Coβ-adenosylcobamide 5'-phosphate + GMP + H+	611 419 	421 1057 1064 
adenosylcobinamide-GDP + 5-hydroxybenzimidazole ribotide phosphate -> Coα-[α-(5-hydroxybenzimidazolyl)]-Coβ-adenosylcobamide 5'-phosphate + GMP + H+	611 466 	2239 1057 1064 
